,whale,k,pool_ratio,size,duration,search_ratio,gas_fee,performance
0,0.0,5,0.5,100,5,0.01,0.2,0.471
0,0.0,5,0.5,100,5,0.05,0.0,0.5106
0,0.0,5,0.5,100,5,0.05,0.05,0.5426
0,0.0,5,0.5,100,5,0.05,0.2,0.492
0,0.0,5,0.5,100,5,0.2,0.0,0.6822
0,0.0,5,0.5,100,5,0.2,0.05,0.695
0,0.0,5,0.5,100,5,0.2,0.2,0.6804
0,0.0,5,0.5,100,5,0.5,0.0,0.74
0,0.0,5,0.5,100,5,0.5,0.05,0.724
0,0.0,5,0.5,100,5,0.5,0.2,0.7312
0,0.0,5,0.5,100,5,1.0,0.0,0.7174
0,0.0,5,0.5,100,5,1.0,0.05,0.7212
0,0.0,5,0.5,100,5,1.0,0.2,0.722
0,0.0,5,0.05,100,10,0.01,0.0,0.5192
0,0.0,5,0.05,100,10,0.01,0.05,0.4808
0,0.0,5,0.05,100,10,0.01,0.2,0.4808
0,0.0,5,0.05,100,10,0.05,0.0,0.501
0,0.0,5,0.05,100,10,0.05,0.05,0.5308
0,0.0,5,0.05,100,10,0.05,0.2,0.5192
0,0.0,5,0.05,100,10,0.2,0.0,0.6372
0,0.0,5,0.05,100,10,0.2,0.05,0.633
0,0.0,5,0.05,100,10,0.2,0.2,0.636
0,0.0,5,0.05,100,10,0.5,0.0,0.6784
0,0.0,5,0.05,100,10,0.5,0.05,0.6614
0,0.0,5,0.05,100,10,0.5,0.2,0.6502
0,0.0,5,0.05,100,10,1.0,0.0,0.6662
0,0.0,5,0.05,100,10,1.0,0.05,0.6572
0,0.0,5,0.05,100,10,1.0,0.2,0.6858
0,0.0,5,0.2,100,10,0.01,0.0,0.5188
0,0.0,5,0.2,100,10,0.01,0.05,0.4202
0,0.0,5,0.2,100,10,0.01,0.2,0.4702
0,0.0,5,0.2,100,10,0.05,0.0,0.583
0,0.0,5,0.2,100,10,0.05,0.05,0.5582
0,0.0,5,0.2,100,10,0.05,0.2,0.545
0,0.0,5,0.2,100,10,0.2,0.0,0.6848
0,0.0,5,0.2,100,10,0.2,0.05,0.6892
0,0.0,5,0.2,100,10,0.2,0.2,0.6868
0,0.0,5,0.2,100,10,0.5,0.0,0.7172
0,0.0,5,0.2,100,10,0.5,0.05,0.7156
0,0.0,5,0.2,100,10,0.5,0.2,0.7148
0,0.0,5,0.2,100,10,1.0,0.0,0.6984
0,0.0,5,0.2,100,10,1.0,0.05,0.7
0,0.0,5,0.2,100,10,1.0,0.2,0.6982
0,0.0,5,0.5,100,10,0.01,0.0,0.4612
0,0.0,5,0.5,100,10,0.01,0.05,0.5696
0,0.0,5,0.5,100,10,0.01,0.2,0.46
0,0.0,5,0.5,100,10,0.05,0.0,0.5226
0,0.0,5,0.5,100,10,0.05,0.05,0.5314
0,0.0,5,0.5,100,10,0.05,0.2,0.63
0,0.0,5,0.5,100,10,0.2,0.0,0.6884
0,0.0,5,0.5,100,10,0.2,0.05,0.6968
0,0.0,5,0.5,100,10,0.2,0.2,0.6816
0,0.0,5,0.5,100,10,0.5,0.0,0.7174
0,0.0,5,0.5,100,10,0.5,0.05,0.7212
0,0.0,5,0.5,100,10,0.5,0.2,0.7162
0,0.0,5,0.5,100,10,1.0,0.0,0.7116
0,0.0,5,0.5,100,10,1.0,0.05,0.6946
0,0.0,5,0.5,100,10,1.0,0.2,0.6958
0,0.0,5,0.05,100,50,0.01,0.0,0.5198
0,0.0,5,0.05,100,50,0.01,0.05,0.3798
0,0.0,5,0.05,100,50,0.01,0.2,0.551
0,0.0,5,0.05,100,50,0.05,0.0,0.5188
0,0.0,5,0.05,100,50,0.05,0.05,0.5194
0,0.0,5,0.05,100,50,0.05,0.2,0.4984
0,0.0,5,0.05,100,50,0.2,0.0,0.6584
0,0.0,5,0.05,100,50,0.2,0.05,0.6382
0,0.0,5,0.05,100,50,0.2,0.2,0.656
0,0.0,5,0.05,100,50,0.5,0.0,0.6394
0,0.0,5,0.05,100,50,0.5,0.05,0.648
0,0.0,5,0.05,100,50,0.5,0.2,0.6548
0,0.0,5,0.05,100,50,1.0,0.0,0.6368
0,0.0,5,0.05,100,50,1.0,0.05,0.6444
0,0.0,5,0.05,100,50,1.0,0.2,0.6372
0,0.0,5,0.2,100,50,0.01,0.0,0.54
0,0.0,5,0.2,100,50,0.01,0.05,0.4992
0,0.0,5,0.2,100,50,0.01,0.2,0.5492
0,0.0,5,0.2,100,50,0.05,0.0,0.6584
0,0.0,5,0.2,100,50,0.05,0.05,0.6642
0,0.0,5,0.2,100,50,0.05,0.2,0.6652
0,0.0,5,0.2,100,50,0.2,0.0,0.6708
0,0.0,5,0.2,100,50,0.2,0.05,0.6796
0,0.0,5,0.2,100,50,0.2,0.2,0.674
0,0.0,5,0.2,100,50,0.5,0.0,0.678
0,0.0,5,0.2,100,50,0.5,0.05,0.6686
0,0.0,5,0.2,100,50,0.5,0.2,0.6846
0,0.0,5,0.2,100,50,1.0,0.0,0.6796
0,0.0,5,0.2,100,50,1.0,0.05,0.6834
0,0.0,5,0.2,100,50,1.0,0.2,0.6916
0,0.0,5,0.5,100,50,0.01,0.0,0.5594
0,0.0,5,0.5,100,50,0.01,0.05,0.4506
0,0.0,5,0.5,100,50,0.01,0.2,0.5012
0,0.0,5,0.5,100,50,0.05,0.0,0.6256
0,0.0,5,0.5,100,50,0.05,0.05,0.619
0,0.0,5,0.5,100,50,0.05,0.2,0.6242
0,0.0,5,0.5,100,50,0.2,0.0,0.6594
0,0.0,5,0.5,100,50,0.2,0.05,0.6572
0,0.0,5,0.5,100,50,0.2,0.2,0.6592
0,0.0,5,0.5,100,50,0.5,0.0,0.6846
0,0.0,5,0.5,100,50,0.5,0.05,0.688
0,0.0,5,0.5,100,50,0.5,0.2,0.6816
0,0.0,5,0.5,100,50,1.0,0.0,0.677
0,0.0,5,0.5,100,50,1.0,0.05,0.6856
0,0.0,5,0.5,100,50,1.0,0.2,0.691
0,0.0,5,0.05,100,100,0.01,0.0,0.4108
0,0.0,5,0.05,100,100,0.01,0.05,0.4716
0,0.0,5,0.05,100,100,0.01,0.2,0.5004
0,0.0,5,0.05,100,100,0.05,0.0,0.5484
0,0.0,5,0.05,100,100,0.05,0.05,0.4506
0,0.0,5,0.05,100,100,0.05,0.2,0.55
0,0.0,5,0.05,100,100,0.2,0.0,0.648
0,0.0,5,0.05,100,100,0.2,0.05,0.6404
0,0.0,5,0.05,100,100,0.2,0.2,0.6416
0,0.0,5,0.05,100,100,0.5,0.0,0.639
0,0.0,5,0.05,100,100,0.5,0.05,0.6476
0,0.0,5,0.05,100,100,0.5,0.2,0.6606
0,0.0,5,0.05,100,100,1.0,0.0,0.6376
0,0.0,5,0.05,100,100,1.0,0.05,0.6402
0,0.0,5,0.05,100,100,1.0,0.2,0.6458
0,0.0,5,0.2,100,100,0.01,0.0,0.5008
0,0.0,5,0.2,100,100,0.01,0.05,0.481
0,0.0,5,0.2,100,100,0.01,0.2,0.4998
0,0.0,5,0.2,100,100,0.05,0.0,0.6592
0,0.0,5,0.2,100,100,0.05,0.05,0.655
0,0.0,5,0.2,100,100,0.05,0.2,0.6658
0,0.0,5,0.2,100,100,0.2,0.0,0.6712
0,0.0,5,0.2,100,100,0.2,0.05,0.6776
0,0.0,5,0.2,100,100,0.2,0.2,0.6658
0,0.0,5,0.2,100,100,0.5,0.0,0.677
0,0.0,5,0.2,100,100,0.5,0.05,0.6784
0,0.0,5,0.2,100,100,0.5,0.2,0.6732
0,0.0,5,0.2,100,100,1.0,0.0,0.6948
0,0.0,5,0.2,100,100,1.0,0.05,0.6788
0,0.0,5,0.2,100,100,1.0,0.2,0.686
0,0.0,5,0.5,100,100,0.01,0.0,0.5786
0,0.0,5,0.5,100,100,0.01,0.05,0.5198
0,0.0,5,0.5,100,100,0.01,0.2,0.4408
0,0.0,5,0.5,100,100,0.05,0.0,0.6314
0,0.0,5,0.5,100,100,0.05,0.05,0.6272
0,0.0,5,0.5,100,100,0.05,0.2,0.626
0,0.0,5,0.5,100,100,0.2,0.0,0.6648
0,0.0,5,0.5,100,100,0.2,0.05,0.6602
0,0.0,5,0.5,100,100,0.2,0.2,0.6526
0,0.0,5,0.5,100,100,0.5,0.0,0.6794
0,0.0,5,0.5,100,100,0.5,0.05,0.6896
0,0.0,5,0.5,100,100,0.5,0.2,0.6782
0,0.0,5,0.5,100,100,1.0,0.0,0.7066
0,0.0,5,0.5,100,100,1.0,0.05,0.6962
0,0.0,5,0.5,100,100,1.0,0.2,0.6962
0,0.0,10,0.05,100,1,0.01,0.0,0.5202
0,0.0,10,0.05,100,1,0.01,0.05,0.4496
0,0.0,10,0.05,100,1,0.01,0.2,0.4304
0,0.0,10,0.05,100,1,0.05,0.0,0.5492
0,0.0,10,0.05,100,1,0.05,0.05,0.5398
0,0.0,10,0.05,100,1,0.05,0.2,0.638
0,0.0,10,0.05,100,1,0.2,0.0,0.4796
0,0.0,10,0.05,100,1,0.2,0.05,0.3914
0,0.0,10,0.05,100,1,0.2,0.2,0.5618
0,0.0,10,0.05,100,1,0.5,0.0,0.5452
0,0.0,10,0.05,100,1,0.5,0.05,0.5212
0,0.0,10,0.05,100,1,0.5,0.2,0.5948
0,0.0,10,0.05,100,1,1.0,0.0,0.5256
0,0.0,10,0.05,100,1,1.0,0.05,0.4894
0,0.0,10,0.05,100,1,1.0,0.2,0.4554
0,0.0,10,0.2,100,1,0.01,0.0,0.57
0,0.0,10,0.2,100,1,0.01,0.05,0.48
0,0.0,10,0.2,100,1,0.01,0.2,0.5596
0,0.0,10,0.2,100,1,0.05,0.0,0.5376
0,0.0,10,0.2,100,1,0.05,0.05,0.4538
0,0.0,10,0.2,100,1,0.05,0.2,0.4352
0,0.0,10,0.2,100,1,0.2,0.0,0.5816
0,0.0,10,0.2,100,1,0.2,0.05,0.5526
0,0.0,10,0.2,100,1,0.2,0.2,0.5124
0,0.0,10,0.2,100,1,0.5,0.0,0.5884
0,0.0,10,0.2,100,1,0.5,0.05,0.552
0,0.0,10,0.2,100,1,0.5,0.2,0.5218
0,0.0,10,0.2,100,1,1.0,0.0,0.4698
0,0.0,10,0.2,100,1,1.0,0.05,0.4746
0,0.0,10,0.2,100,1,1.0,0.2,0.4406
